tag,child,type,repeat,translation,note
abstract,,,,,
,@id,CDATA,,,
,@label,CDATA,,,
,CDATA,,,,
,emph,emph,,,
,,,,,
addressline,,,TRUE,,
,CDATA,,,,
,,,,,
archdesc,,,FALSE,archival description,
,@level,CDATA,,,
,acqinfo,formattednote,,,
,did,did,,,
,dsc,dsc,,,
,scopecontent,formattednote,,,
,bioghist,formattednote,,,
,accessrestrict,formattednote,,,
,userestrict,formattednote,,,
,prefercite,formattednote,,,
,processinfo,formattednote,,,
,arrangement,formattednote,,,
,controlaccess,controlaccess,,,
,c,c,TRUE,,
,acqinfo,formattednote,,,
,,,,,
c,did,did,,,
,scopecontent,formattednote,,,
,accessrestrict,formattednote,,,
,userestrict,formattednote,,,
,prefercite,formattednote,,,
,processinfo,formattednote,,,
,arrangement,formattednote,,,
,dsc,dsc,,,
,,,,,
change,,,,,
,date,CDATA,,,
,item,CDATA,,,
,,,,,
creation,,,,,
,date,CDATA,,,
,CDATA,,,,
,,,,,
controlaccess,,,,,
,persname,CDATA,TRUE,,
,corpname,CDATA,TRUE,,
,subject,CDATA,TRUE,,
,genreform,CDATA,TRUE,,
,,,,,
dsc,,,,,
,c,c,,,
,,,,,
did,,,,,
,unittitle,CDATA,,,
,unitid,CDATA,,,
,repository,repository,,,
,langmaterial,langmaterial,TRUE,,
,physdesc,physdesc,TRUE,,
,,,,,
ead,,,,,
,eadheader,eadheader,FALSE,,
,archdesc,arcdesc,FALSE,,
,,,,,
eadheader,,,FALSE,,
,eadid,eadid,,,
,filedesc,filedesc,,,
,publicationstmt,publicationstmt,,,
,profiledesc,profiledesc,,,
,revisiondesc,revisiondesc,,,
,,,,,
eadid,,,,,
,@countrycode,CDATA,,ISO 3166-1 code for the country of the maintenance agency,
,@mainagency,CDATA,,ISO 15511 code for the institution that maintains the finding aid,
,@url,CDATA,,absolute or relative address of the finding aid,
,CDATA,,,,
,,,,,
emph,,,,,
,@render,CDATA,,,
,CDATA,,,,
,,,,,
filedesc,,,,,
,notestmt,formattednote,,,
,publicationstmt,publicationstmt,,,
,titlestmt,titlestmt,,,
,,,,,
language,,,,,
,@langcode,CDATA,,,
,,,,,
langmaterial,,,,,
,@id,CDATA,,,
,@label,CDATA,,,
,language,language,,,
,CDATA,,,,
,,,,,
origination,,,,,
,@label,string,,,
,persname,CDATA,TRUE,,
,,,,,
physdesc,,,,,
,extent,CDATA,,,
,,,,,
profiledesc,,,,,
,creation,creation,,,
,langusage,CDATA,,,
,descrules,CDATA,,,
,,,,,
publicationstmt,,,,,
,publisher,CDATA,,,
,address,addressline,,,
,,,,,
repository,,,,,
,corpname,CDATA,,,
,,,,,
revisiondesc,,,,,
,change,change,,,
,,,,,
titlestmt,,,,,
,titleproper,titleproper,,,
,author,CDATA,,,
,,,,,
formattednote,,,,,
,@id,CDATA,,,
,head,,,,
,p,,,,
,emph,,,,
,lb,,,,
