tag,child,type,repeat,optional,translation,note,user-facing-label
abstract,NA,NA,NA,,,,Abstract
,@id,CDATA,FALSE,,,,
,@label,CDATA,FALSE,,,,
,CDATA,,,,,,
,emph,emph,TRUE,,,,
,lb,lb,TRUE,,,,
,title,title,TRUE,,,,
,,,,,,,
address,,,TRUE,,,,
,addressline,addressline,,,,,
,,,,,,,
addressline,,,TRUE,,,,
,CDATA,,,,,,
,extptr,,,,,,
,,,,,,,
archdesc,,,FALSE,,archival description,,
,@level,CDATA,,,,,
,accessrestrict,formattednotewithhead,TRUE,,access restriction note,,Conditions Governing Access
,accruals,formattednotewithhead,TRUE,,,,Accruals
,acqinfo,formattednotewithhead,FALSE,,acquisition info note,,Immediate Source of Acquisition
,altformavailable,formattednotewithhead,FALSE,,,,Other Forms Available
,appraisal,formattednotewithhead,TRUE,,,,Appraisal Note
,arrangement,formattednotewithhead,TRUE,,arrangement note,,Arrangement Note
,bibliography,bibliography,FALSE,,,,Bibliography
,bioghist,formattednotewithhead,TRUE,,biographical and historical notes,,Biographical/Historical Note
,controlaccess,controlaccess,FALSE,,control access terms,,Subjects
,custodhist,formattednotewithhead,TRUE,,custodial history,,Custodial History
,did,did,FALSE,,description identifier,,
,dsc,dsc,FALSE,,description of subordinate components,,
,odd,formattednotewithhead,TRUE,,,,General Note
,Otherfindaid,formattednotewithhead,TRUE,,,,General Note
,Originalsloc,Formattednotewithhead,FALSE,,,,General Note
,phystech,formattednotewithhead,TRUE,,Physical Characteristics and Technical Requirements,,Physical Characteristics and Technical Requirements
,prefercite,formattednotewithhead,TRUE,,preferred citation note,,Preferred Citation
,processinfo,formattednotewithhead,TRUE,,processing info note,,Processing Information
,relatedmaterial,formattednotewithhead,TRUE,,,,Related Materials
,scopecontent,formattednotewithhead,FALSE,,scope and content note,,Scope and Content Note
,seperatedmaterial,formattednotewithhead,TRUE,,,,Separated Materials
,userestrict,formattednotewithhead,FALSE,,use restriction note,,Conditions Governing Use
,,,,,,,
bibliography,,,FALSE,,,,
,@id,,,,,,
,head,head,,,,,
,bibref,bibref,,,,,
,,,,,,,
bibref,,,FALSE,,,,
,emph,,,,,,
,CDATA,,,,,,
,,,,,,,
c,,,TRUE,,Component,,
,@id,CDATA,,,,,
,@level,CDATA,,,,c tags can be nested up to 12 levels deep,
,@otherlevel,CDATA,,,,,
,accessrestrict,formattednotewithhead,,,,,Conditions Governing Access
,accruals,formattednotewithhead,,,,,Accruals
,appraisal,formattednotewithhead,,,,,Appraisal Note
,arrangement,formattednotewithhead,,,,,Arrangement Note
,bioghist,formattednotewithhead,,,,,Biographical/Historical Note
,c,c,,,,,
,controlaccess,controlaccess,,,,,Subjects
,custodhist,formattednotewithhead,,,,,Custodial History
,did,did,,,,,
,odd,formattednotewithhead,,,,,
,phystech,formattednotewithhead,,,,,Physical Characteristics and Technical Requirements
,prefercite,formattednotewithhead,,,,,Preferred Citation
,processinfo,formattednotewithhead,,,,,Processing Information
,relatedmaterial,formattednotewithhead,,,,,Related Materials
,scopecontent,formattednotewithhead,,,,,Scope and Content Note
,userestrict,formattednotewithhead,,,,,Conditions Governing Use
,,,,,,,
change,,,TRUE,,,,
,date,CDATA,,,,,
,item,item,,,,,
,CDATA,,,,,,
,,,,,,,
controlaccess,,,TRUE,,,,Subjects
,corpname,corpname,,,,,Organizations
,famname,famname,,,,,Families
,function,CDATA,,,,,Activities
,genreform,CDATA,,,,,Genres
,geogname,CDATA,,,,,Places
,occupation,CDATA,,,,,Occupations
,persname,persname,,,,,People
,subject,CDATA,,,,,Topics
,title,title,,,,,Topics
,,,,,,,
container,,,TRUE,,,,
,@altrender,CDATA,,,,,
,@id,CDATA,,,,,
,@label,CDATA,,,,,
,@parent,CDATA,,,,,
,@type,CDATA,,,,,
,CDATA,,,,,,
,,,,,,,
corpname,,,TRUE,,,,Organizations
,@role,CDATA,FALSE,,,,
,@source,CDATA,FALSE,,,,
,CDATA,,,,,,
,,,,,,,
creation,,,FALSE,,,,
,date,CDATA,,,,,
,CDATA,,,,,,
,,,,,,,
chronitem,NA,NA,NA,,,,
,date,date,FALSE,,,,
,eventgrp,eventgrp,FALSE,,,,
,CDATA,,FALSE,,,,
,,,,,,,
chronlist,NA,NA,NA,,,,
,head,head,FALSE,,,,
,chronitem,chronitem,TRUE,,,,
,,,,,,,
,,,,,,,
dao,,,TRUE,,,,
,@xlink:actuate,CDATA,,,,,
,@xlink:href,CDATA,,,,,
,@xlink:role,CDATA,,,,,
,@xlink:show,CDATA,,,,,
,@xlink:type,CDATA,,,,,
,daodesc,daodesc,,,,,
,CDATA,,,,,,
,,,,,,,
daodesc,,,FALSE,,,,
,p,p,,,,,
,,,,,,,
daogrp,,,TRUE,,,,
,@xlink:title,CDATA,,,,,
,@xlink:type,CDATA,,,,,
,daodesc,daodesc,,,,,
,daoloc,daoloc,,,,,
,,,,,,,
daoloc,,,TRUE,,,,
,@audience,CDATA,,,,,
,@xlink:href,CDATA,,,,,
,@xlink:role,CDATA,,,,,
