tag,child,type,repeat,translation,note
abstract,,,,,
,@id,CDATA,,,
,@label,CDATA,,,
,CDATA,,,,
,emph,emph,,,
,,,,,
addressline,,,,,
,CDATA,,,,
,extptr,,,,
,,,,,
archdesc,,,,archival description,
,@level,CDATA,,,
,accessrestrict,formattednotewithhead,,access restriction note,
,accruals,formattednotewithhead,,,
,acqinfo,formattednote,,acquisition info note,
,altformatavailable,formattednotewithhead,,,
,appraisal,formattednotewithhead,,,
,arrangement,formattednotewithhead,,arrangement note,
,bibliography,bibliography,,,This may need to be broken down. 
,bioghist,formattednotewithhead,,biographical and historical notes,
,controlaccess,controlaccess,,control access terms,
,custodhist,formattednotewithhead,,custodial history,
,did,did,,description identifier,
,dsc,dsc,,description of subordinate components,
,odd,formattednotewithhead,,,
,phystech,formattednotewithhead,,Physical Characteristics and Technical Requirements,
,prefercite,formattednotewithhead,,preferred citation note,
,processinfo,formattednotewithhead,,processing info note,
,relatedmaterial,formattednotewithhead,,,
,scopecontent,formattednotewithhead,,scope and content note,
,seperatedmaterial,formattednotewithhead,,,
,userestrict,formattednotewithhead,,use restriction note,
,,,,,
bibliography,,,,,
,@id,,,,
,head,head,,,
,bibref,bibref,,,
,CDATA,,,,
,,,,,
bibref,,,,,
,emph,,,,
,CDATA,,,,
,,,,,
c,,,,Component,
,@id,CDATA,,,
,@level,CDATA,,,c tags can be nested up to 12 levels deep
,@otherlevel,CDATA,,,
,accessrestrict,formattednotewithhead,,,
,accruals,formattednotewithhead,,,
,appraisal,formattednotewithhead,,,
,arrangment,formattednotewithhead,,,
,bioghist,formattednotewithhead,,,
,c,c,,,
,controlaccess,controlaccess,,,
,custodhist,formattednotewithhead,,,
,did,did,,,
,dsc,description of subordinate components,,,
,phystech,formattednotewithhead,,,
,prefercite,formattednotewithhead,,,
,processinfo,formattednotewithhead,,,
,relatedmaterial,formattednotewithhead,,,
,scopecontent,formattednotewithhead,,,
,userestrict,formattednotewithhead,,,
,,,,,
change,,,,,
,date,date,,,
,item,item,,,
,CDATA,,,,
creation,,,,,
,date,date,,,
,CDATA,,,,
,,,,,
controlaccess,,,,,
,persname,persname,,,
,famname,famname,,,
,corpname,corpname,,,
,subject,subject,,,
,genreform,genreform,,,
,,,,,
corpname,,,,,
,CDATA,,,,
,,,,,
date,,,,,
,CDATA,,,,
,,,,,
descrules,,,,,
,CDATA,,,,
,,,,,
did,,,,,
,unittitle,unittitle,,,
,unitid,unitid,,,
,unitdate,unitdate,,,
,repository,repository,,,
,langmaterial,langmaterial,,,
,physdesc,physdesc,,,
,origination,origination,,,
,abstract,abstract,,,
,physloc,,,,
,,,,,
dsc,,,,,
,c,c,,,
,,,,,
ead,,,,,
,eadheader,eadheader,,,
,archdesc,arcdesc,,,
,,,,,
eadheader,,,,,
,eadid,eadid,,,
,filedesc,filedesc,,,
,profiledesc,profiledesc,,,
,revisiondesc,revisiondesc,,,
,,,,,
eadid,,,,,
,@countrycode,CDATA,,,
,@mainagency,CDATA,,,
,@url,CDATA,,,
,CDATA,,,,
,,,,,
emph,,,,emphasis,this is a tag used to stylize text. The tag uses a ‘render’ tag to specify how the text should be specified.
,@render,CDATA,,,
,CDATA,,,,
,,,,,
extent,,,,,
,CDATA,,,,
,,,,,
extptr,,,,,
,@href,CDATA,,,
,@show,CDATA,,,
,@title,CDATA,,,
,@type,CDATA,,,
,,,,,
famname,,,,,
,CDATA,,,,
,,,,,
filedesc,,,,,
,notestmt,formattednotewithhead,,,
,publicationstmt,publicationstmt,,,
,titlestmt,titlestmt,,,
,,,,,
formattednotewithhead,,,,,
,@id,CDATA,,,
,head,head,,,
,p,p,,,
,,,,,
genreform,,,,,
,CDATA,,,,
,,,,,
head,,,,,
,emph,emph,,,
,extptr,extptr,,,
,,,,,
item,,,,,
,CDATA,,,,
,,,,,
language,,,,,
,@langcode,,,,
,@scriptcode,,,,
,CDATA,,,,
,,,,,
lb,,,,,"a tag used in formatted text blocks to mark line breaks, should be converted to a html <br>"
,,,,,
langusage,,,,,
,@langcode,CDATA,,,
,,,,,
langmaterial,,,,,
,@id,CDATA,,,
,language,language,,,
,CDATA,,,,
,,,,,
origination,,,,,
,@label,string,,,
,persname,persname,,,
,,,,,
p,,,,,
,@id,CDATA,,,
,emph,emph,,,
,lb,,,line break – no attributes or data,
,CDATA,,,,
,,,,,
persname,,,,,
,CDATA,,,,
,,,,,
,,,,,
physdesc,,,,,
,emph,emph,,,
,extent,extent,,,
,,,,,
physloc,,,,,
,CDATA,,,,
,,,,,
,,,,,
profiledesc,,,,,
,creation,creation,,,
,langusage,langusage,,,
,descrules,descrules,,,
,CDATA,,,,
,,,,,
publicationstmt,,,,,
,publisher,CDATA,,,
,address,addressline,,,
,p,p,,,
,,,,,
repository,,,,,
,corpname,CDATA,,,
,,,,,
revisiondesc,,,,,
,change,change,,,
,,,,,
subject,,,,,
,CDATA,,,,
,,,,,
title,,,,,
,@render,,,,
,CDATA,,,,
,,,,,
titlestmt,,,,,
,,,,,
,titleproper,titleproper,,,
,author,CDATA,,,
,sponsor,CDATA,,,
,,,,,
titleproper,,,,,
,num,CDATA,,,
,lb,,,,
,emph,,,,
,CDATA,,,,
,,,,,
unitid,,,,,
,CDATA,,,,
,,,,,
unittitle,,,,,
,emph,emph,,,
,title,title,,,
,CDATA,,,,
,,,,,
unitdate,,,,,
,@normal,CDATA,,,
,@type,CDATA,,,
,CDATA,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,line break – no attributes or data,
