tag,child,type,repeat,translation,note
abstract,,,,,
,@id,CDATA,,,
,@label,CDATA,,,
,CDATA,,,,
,emph,emph,,,
,,,,,
addressline,,,TRUE,,
,CDATA,,,,
,extptr,,,,
,,,,,
archdesc,,,FALSE,archival description,
,@level,CDATA,,,
,acqinfo,formattednote,,acquisition info note,
,did,did,,description identifier,
,dsc,dsc,,description of subordinate components,
,scopecontent,formattednote,,scope and content note,
,bioghist,formattednote,,biographical and historical notes,
,accessrestrict,formattednote,,access restriction note,
,userestrict,formattednote,,use restriction note,
,prefercite,formattednote,,preferred citation note,
,processinfo,formattednote,,processing info note,
,arrangement,formattednote,,arrangement note,
,controlaccess,controlaccess,,control access terms,
,custodhist,formattednote,,custodial history,
,phystech,formattednote,TRUE,Physical Characteristics and Technical Requirements,
,appraisal,formatted note,TRUE,,
,sepreatedmaterial,formatted note,,,
,relatedmaterial,formatted note,TRUE,,
,accruals,formatted note,TRUE,,
,altformatavailable,formatted note,,,
,odd,formatted note,TRUE,,
,bibliography,formattednote,,,This may need to be broken down. 
,,,,,
author,,,,,
,CDATA,,,,
,,,,,
c,,,,,
,@level,CDATA,,,
,@otherlevel,CDATA,,,
,did,did,,,
,controlaccess,controlaccess,,,
,arrangment,formatted note,,,
,scopecontent,formattednote,,,
,accessrestrict,formattednote,,,
,bioghist,formatted note,,,
,accruals,formatted note,,,
,appraisal,formatted note,,,
,relatedmaterial,formatted note,,,
,custodhist,formatted note,,,
,userestrict,formattednote,,,
,prefercite,formattednote,,,
,processinfo,formattednote,,,
,phystech,formatted note,,,
,,,,,
change,,,,,
,date,date,,,
,item,item,,,
,CDATA,,,,
creation,,,,,
,date,date,,,
,CDATA,,,,
,,,,,
controlaccess,,,,,
,persname,persname,,,
,famname,famname,,,
,corpname,corpname,,,
,subject,subject,,,
,genreform,genreform,,,
,,,,,
corpname,,,,,
,CDATA,,,,
,,,,,
date,,,,,
,CDATA,,TRUE,,
,,,TRUE,,
descrules,,,TRUE,,
,CDATA,,TRUE,,
,,,TRUE,,
dsc,,,,,
,c,c,,,
,,,,,
did,,,,,
,unittitle,unittitle,,,
,unitid,unitid,,,
,unitdate,unitdate,,,
,repository,repository,,,
,langmaterial,langmaterial,,,
,physdesc,physdesc,,,
,origination,origination,,,
,abstract,abstract,,,
,physloc,,,,
,,,,,
ead,,,,,
,eadheader,eadheader,,,
,archdesc,arcdesc,,,
,,,,,
eadheader,,,TRUE,,
,eadid,eadid,TRUE,,
,filedesc,filedesc,,,
,publicationstmt,publicationstmt,,,
,profiledesc,profiledesc,,,
,revisiondesc,revisiondesc,,,
,,,,,
eadid,,,FALSE,,
,@countrycode,CDATA,FALSE,,
,@mainagency,CDATA,,,
,@url,CDATA,FALSE,,
,CDATA,,,,
,,,,,
emph,,,,,
,@render,CDATA,,,
,CDATA,,,,
,,,,,
extent,,,,,
,CDATA,,,ISO 3166-1 code for the country of the maintenance agency,
,,,,ISO 15511 code for the institution that maintains the finding aid,
extptr,,,,absolute or relative address of the finding aid,
,@href,CDATA,,,
,@show,CDATA,,,
,@title,CDATA,,,
,@type,CDATA,,,
,CDATA,,,,
famname,,,,,
,CDATA,,,,
,,,,,
filedesc,,,,,
,notestmt,formattednote,,,
,publicationstmt,publicationstmt,,,
,titlestmt,titlestmt,,,
,,,,,
genreform,,,,,
,CDATA,,,,
,,,,,
item,,,,,
,CDATA,,,,
,,,,,
language,,,,,
,@langcode,,,,
,@scriptcode,,,,
,CDATA,,,,
,,,,,
langusage,,,,,
,@langcode,CDATA,,,
,,,,,
langmaterial,,,,,
,@id,CDATA,,,
,language,language,,,
,CDATA,,,,
,,,,,
origination,,,,,
,@label,string,,,
,persname,persname,,,
,,,,,
persname,,,,,
,CDATA,,,,
,,,,,
physdesc,,,,,
,extent,extent,,,
,,,,,
physloc,,,,,
,CDATA,,,,
,,,TRUE,,
profiledesc,,,,,
,creation,creation,,,
,langusage,langusage,,,
,descrules,descrules,,,
,CDATA,,,,
,,,,,
publicationstmt,,,,,
,publisher,CDATA,,,
,address,addressline,,,
,p,formattednote,,,
,,,,,
repository,,,,,
,corpname,CDATA,,,
,,,,,
revisiondesc,,,,,
,change,change,,,
,,,,,
sponsor,,,,,
,CDATA,,,,
,,,,,
subject,,,,,
,CDATA,,,,
,,,,,
title,,,,,
,@render,,,,
,CDATA,,TRUE,,
titlestmt,,,,,
,titleproper,titleproper,,,
,author,author,,,
,sponsor,sponsor,,,
,,,,,
unitid,,,,,
,CDATA,,,,
,,,,,
unittitle,,,,,
,title,title,,,
,CDATA,,,,
,,,,,
unitdate,,,,,
,@normal,CDATA,,,
,@type,CDATA,,,
,CDATA,,,,
,,,,,
,,,,,
formattednote,,,,,
,@id,CDATA,,,
,head,,,,
,p,,,,
,emph,,,,
,lb,,,,
